Maize Production,,,
,,,
year,Sugar production in tonnes,Production Cost per tonne,Margin %
1896,2195,7.532,8.000
1897,2319,6.503,9.000
1898,2243,6.965,10.000
1899,2327,6.919,10.000
1900,2486,7.320,8.000
1901,2657,7.050,10.000
1902,2874,7.455,4.000
1903,2856,6.638,14.000
1904,3099,6.772,5.000
1905,2948,7.256,6.000
1906,3208,6.515,8.000
1907,3353,6.649,12.000
1908,3568,6.957,12.000
1909,3649,6.765,10.000
1910,3752,6.972,8.000
1911,3754,7.345,9.000
1912,3925,7.041,6.000
1913,4192,6.278,7.000
1914,4212,6.683,5.000
